customer_code,rating,first_choice_product,first_choice_building,acceptable_total_price,money_status,authority_status,need_fit_status,unresolved_issue,as_of_date
C001,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C002,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C003,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C004,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C005,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C006,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C007,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C008,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C009,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C010,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C011,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C012,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C013,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C014,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C015,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C016,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C017,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C018,A,105㎡小高层,G1,215-235万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C019,B+,105㎡小高层,G1,215-235万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C020,B+,105㎡小高层,G1,215-235万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C021,B+,105㎡小高层,G1,215-235万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C022,B+,105㎡小高层,G1,215-235万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
