frozen_customer_code,reason,follow_up,as_of_date
F001,可继续跟进，等待家庭成员返场,yes,2026-07-19
F002,可继续跟进，等待家庭成员返场,yes,2026-07-19
F003,可继续跟进，等待家庭成员返场,yes,2026-07-19
F004,可继续跟进，等待家庭成员返场,yes,2026-07-19
F005,可继续跟进，等待家庭成员返场,yes,2026-07-19
F006,可继续跟进，等待家庭成员返场,yes,2026-07-19
F007,可继续跟进，等待家庭成员返场,yes,2026-07-19
F008,可继续跟进，等待家庭成员返场,yes,2026-07-19
F009,可继续跟进，等待家庭成员返场,yes,2026-07-19
F010,可继续跟进，等待家庭成员返场,yes,2026-07-19
F011,可继续跟进，等待家庭成员返场,yes,2026-07-19
F012,可继续跟进，等待家庭成员返场,yes,2026-07-19
F013,可继续跟进，等待家庭成员返场,yes,2026-07-19
F014,可继续跟进，等待家庭成员返场,yes,2026-07-19
F015,可继续跟进，等待家庭成员返场,yes,2026-07-19
F016,可继续跟进，等待家庭成员返场,yes,2026-07-19
F017,可继续跟进，等待家庭成员返场,yes,2026-07-19
F018,市场观望，担心后续降价,yes,2026-07-19
F019,市场观望，担心后续降价,yes,2026-07-19
F020,市场观望，担心后续降价,yes,2026-07-19
F021,市场观望，担心后续降价,yes,2026-07-19
F022,市场观望，担心后续降价,yes,2026-07-19
F023,市场观望，担心后续降价,yes,2026-07-19
F024,市场观望，担心后续降价,yes,2026-07-19
F025,市场观望，担心后续降价,yes,2026-07-19
F026,市场观望，担心后续降价,yes,2026-07-19
F027,市场观望，担心后续降价,yes,2026-07-19
F028,市场观望，担心后续降价,yes,2026-07-19
F029,市场观望，担心后续降价,yes,2026-07-19
F030,家庭意见不统一,yes,2026-07-19
F031,家庭意见不统一,yes,2026-07-19
F032,家庭意见不统一,yes,2026-07-19
F033,家庭意见不统一,yes,2026-07-19
F034,家庭意见不统一,yes,2026-07-19
F035,家庭意见不统一,yes,2026-07-19
F036,家庭意见不统一,yes,2026-07-19
F037,家庭意见不统一,yes,2026-07-19
F038,预算不足,yes,2026-07-19
F039,预算不足,yes,2026-07-19
F040,预算不足,yes,2026-07-19
F041,预算不足,yes,2026-07-19
F042,预算不足,yes,2026-07-19
F043,预算不足,yes,2026-07-19
F044,卖房置换尚未完成,yes,2026-07-19
F045,卖房置换尚未完成,yes,2026-07-19
F046,卖房置换尚未完成,yes,2026-07-19
F047,卖房置换尚未完成,yes,2026-07-19
F048,卖房置换尚未完成,yes,2026-07-19
F049,转向竞品,no,2026-07-19
F050,转向竞品,no,2026-07-19
F051,转向竞品,no,2026-07-19
