unit_id,building,floor,unit,product,area_sqm,requested_net_price_per_sqm,floor_price_per_sqm,list_price_per_sqm,total_price_yuan,target_sale
G1-0101,G1,1,01,105㎡小高层,105,20550,20050,21186,2157750,no
G1-0102,G1,1,02,125㎡小高层,125,20950,20450,21598,2618750,yes
G1-0103,G1,1,03,125㎡小高层,125,20850,20350,21495,2606250,no
G1-0104,G1,1,04,105㎡小高层,105,20450,19950,21082,2147250,no
G1-0201,G1,2,01,105㎡小高层,105,20650,20150,21289,2168250,no
G1-0202,G1,2,02,125㎡小高层,125,21050,20550,21701,2631250,yes
G1-0203,G1,2,03,125㎡小高层,125,20950,20450,21598,2618750,yes
G1-0204,G1,2,04,105㎡小高层,105,20550,20050,21186,2157750,no
G1-0301,G1,3,01,105㎡小高层,105,20750,20250,21392,2178750,no
G1-0302,G1,3,02,125㎡小高层,125,21150,20650,21804,2643750,yes
G1-0303,G1,3,03,125㎡小高层,125,21050,20550,21701,2631250,yes
G1-0304,G1,3,04,105㎡小高层,105,20650,20150,21289,2168250,no
G1-0401,G1,4,01,105㎡小高层,105,20850,20350,21495,2189250,no
G1-0402,G1,4,02,125㎡小高层,125,21250,20750,21907,2656250,yes
G1-0403,G1,4,03,125㎡小高层,125,21150,20650,21804,2643750,yes
G1-0404,G1,4,04,105㎡小高层,105,20750,20250,21392,2178750,no
G1-0501,G1,5,01,105㎡小高层,105,20950,20450,21598,2199750,yes
G1-0502,G1,5,02,125㎡小高层,125,21350,20850,22010,2668750,yes
G1-0503,G1,5,03,125㎡小高层,125,21250,20750,21907,2656250,yes
G1-0504,G1,5,04,105㎡小高层,105,20850,20350,21495,2189250,no
G1-0601,G1,6,01,105㎡小高层,105,21050,20550,21701,2210250,yes
G1-0602,G1,6,02,125㎡小高层,125,21450,20950,22113,2681250,yes
G1-0603,G1,6,03,125㎡小高层,125,21350,20850,22010,2668750,yes
G1-0604,G1,6,04,105㎡小高层,105,20950,20450,21598,2199750,yes
G1-0701,G1,7,01,105㎡小高层,105,21150,20650,21804,2220750,yes
G1-0702,G1,7,02,125㎡小高层,125,21550,21050,22216,2693750,yes
G1-0703,G1,7,03,125㎡小高层,125,21450,20950,22113,2681250,yes
G1-0704,G1,7,04,105㎡小高层,105,21050,20550,21701,2210250,yes
G1-0801,G1,8,01,105㎡小高层,105,21250,20750,21907,2231250,yes
G1-0802,G1,8,02,125㎡小高层,125,21650,21150,22320,2706250,yes
G1-0803,G1,8,03,125㎡小高层,125,21550,21050,22216,2693750,yes
G1-0804,G1,8,04,105㎡小高层,105,21150,20650,21804,2220750,yes
G1-0901,G1,9,01,105㎡小高层,105,21350,20850,22010,2241750,yes
G1-0902,G1,9,02,125㎡小高层,125,21750,21250,22423,2718750,yes
G1-0903,G1,9,03,125㎡小高层,125,21650,21150,22320,2706250,yes
G1-0904,G1,9,04,105㎡小高层,105,21250,20750,21907,2231250,yes
G1-1001,G1,10,01,105㎡小高层,105,21450,20950,22113,2252250,yes
G1-1002,G1,10,02,125㎡小高层,125,21850,21350,22526,2731250,yes
G1-1003,G1,10,03,125㎡小高层,125,21750,21250,22423,2718750,yes
G1-1004,G1,10,04,105㎡小高层,105,21350,20850,22010,2241750,yes
G1-1101,G1,11,01,105㎡小高层,105,21550,21050,22216,2262750,yes
G1-1102,G1,11,02,125㎡小高层,125,21950,21450,22629,2743750,yes
G1-1103,G1,11,03,125㎡小高层,125,21850,21350,22526,2731250,yes
G1-1104,G1,11,04,105㎡小高层,105,21450,20950,22113,2252250,yes
G1-1201,G1,12,01,105㎡小高层,105,21650,21150,22320,2273250,yes
G1-1202,G1,12,02,125㎡小高层,125,22050,21550,22732,2756250,yes
G1-1203,G1,12,03,125㎡小高层,125,21950,21450,22629,2743750,yes
G1-1204,G1,12,04,105㎡小高层,105,21550,21050,22216,2262750,yes
G1-1301,G1,13,01,105㎡小高层,105,21750,21250,22423,2283750,yes
G1-1302,G1,13,02,125㎡小高层,125,22150,21650,22835,2768750,yes
G1-1303,G1,13,03,125㎡小高层,125,22050,21550,22732,2756250,yes
G1-1304,G1,13,04,105㎡小高层,105,21650,21150,22320,2273250,yes
G1-1401,G1,14,01,105㎡小高层,105,21850,21350,22526,2294250,yes
G1-1402,G1,14,02,125㎡小高层,125,22250,21750,22938,2781250,no
G1-1403,G1,14,03,125㎡小高层,125,22150,21650,22835,2768750,yes
G1-1404,G1,14,04,105㎡小高层,105,21750,21250,22423,2283750,yes
G1-1501,G1,15,01,105㎡小高层,105,21950,21450,22629,2304750,yes
G1-1502,G1,15,02,125㎡小高层,125,22350,21850,23041,2793750,no
G1-1503,G1,15,03,125㎡小高层,125,22250,21750,22938,2781250,no
G1-1504,G1,15,04,105㎡小高层,105,21850,21350,22526,2294250,yes
G1-1601,G1,16,01,105㎡小高层,105,22050,21550,22732,2315250,yes
G1-1602,G1,16,02,125㎡小高层,125,22450,21950,23144,2806250,no
G1-1603,G1,16,03,125㎡小高层,125,22350,21850,23041,2793750,no
G1-1604,G1,16,04,105㎡小高层,105,21950,21450,22629,2304750,yes
G1-1701,G1,17,01,105㎡小高层,105,22150,21650,22835,2325750,no
G1-1702,G1,17,02,125㎡小高层,125,22550,22050,23247,2818750,no
G1-1703,G1,17,03,125㎡小高层,125,22450,21950,23144,2806250,no
G1-1704,G1,17,04,105㎡小高层,105,22050,21550,22732,2315250,yes
